herb,condition,evidence
Ashwagandha,Stress,Traditional adaptogenic support; small RCTs indicate stress reduction
Tulsi,Common Cold,Traditional respiratory support; soothing for throat
Ginger,Indigestion,Carminative; helps nausea/bloating traditionally
Triphala,Constipation,Traditional bowel regulation
Turmeric,Joint Pain,Anti-inflammatory support
Giloy,Fever,Traditional antipyretic support
Neem,Acne,Antimicrobial and skin support
Amla,Low Energy,Vitamin C rich; rejuvenative
Trikatu,Indigestion,Stimulates digestion per texts
Fennel,Indigestion,Soothing carminative
Black Pepper,Indigestion,Improves bioavailability
