name,properties
Ashwagandha,adaptogen|stress|sleep
Tulsi,respiratory|immune|anti-inflammatory
Triphala,digestion|detox|constipation
Trikatu,digestion|metabolism|respiratory
Ginger,digestion|anti-nausea|anti-inflammatory
Turmeric,anti-inflammatory|antioxidant|joint
Licorice,soothing|respiratory|digestive
Amla,vitamin C|immune|skin
Shatavari,hormonal|female health|cooling
Gokshura,urinary|vitality|tonic
Brahmi,cognition|memory|calming
Neem,skin|antimicrobial|blood purifier
Giloy,fever|immune|anti-inflammatory
Cinnamon,metabolism|blood sugar|warming
Cardamom,digestion|cooling|aroma
Fennel,digestion|bloating|cooling
Peppermint,digestion|nausea|cooling
Clove,dental|antimicrobial|warming
Cumin,digestion|gas|appetite
Black Pepper,digestion|bioavailability|warming
